Received Acknowledgement:2/0x2 - Sequence 1356433761/BE:0x50d98961/LE:0x6189d950, Packet length:40
TCP/IP Handshake with 172.16.44.1 port 13337 successful!
Trying to guess the sequence...

Received Acknowledgement:2/0x2 - Sequence 2303746521/BE:0x895061d9/LE:0xd9615089, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 2312720737/BE:0x89d95161/LE:0x6151d989, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1389988193/BE:0x52d98961/LE:0x6189d952, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3647033993/BE:0xd9615289/LE:0x895261d9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3646130529/BE:0xd9538961/LE:0x618953d9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3647048020/BE:0xd9618954/LE:0x548961d9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1435066841/BE:0x558961d9/LE:0xd9618955, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1432476041/BE:0x5561d989/LE:0x89d96155, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1636390617/BE:0x618956d9/LE:0xd9568961, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1473874273/BE:0x57d98961/LE:0x6189d957, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 2312722529/BE:0x89d95861/LE:0x6158d989, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1482787289/BE:0x586189d9/LE:0xd9896158, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1636391385/BE:0x618959d9/LE:0xd9598961, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1641646426/BE:0x61d9895a/LE:0x5a89d961, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3646654817/BE:0xd95b8961/LE:0x61895bd9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 2304891227/BE:0x8961d95b/LE:0x5bd96189, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3647048028/BE:0xd961895c/LE:0x5c8961d9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3649659229/BE:0xd989615d/LE:0x5d6189d9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 3649658465/BE:0xd9895e61/LE:0x615e89d9, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1641646430/BE:0x61d9895e/LE:0x5e89d961, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1636392921/BE:0x61895fd9/LE:0xd95f8961, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1641646432/BE:0x61d98960/LE:0x6089d961, Packet length:40
Received Acknowledgement:2/0x2 - Sequence 1633782233/BE:0x616189d9/LE:0xd9896161, Packet length:40
